vendor_id,amt,amt_deviation,duplicate_entry,new_vendor,missing_po,entered_after_hrs,manual_entry,unusual_accts,desc_quality,anomalous
V05,437.17,low,no,no,no,no,no,no,normal,no
V13,1118.20,low,no,no,no,no,no,no,normal,no
V04,101.16,low,no,no,no,no,no,no,normal,no
V09,124.33,low,no,no,yes,no,no,no,normal,no
V06,74.42,low,no,no,yes,yes,yes,no,normal,no
V11,8822.88,high,yes,no,no,yes,no,no,normal,yes
V17,234.56,low,no,no,no,no,no,no,normal,no
V04,486.14,low,no,no,no,yes,yes,yes,low,no
V01,71.88,low,no,no,no,no,no,no,low,no
V13,140.14,low,no,no,no,no,no,no,normal,no
V18,7602.29,high,no,no,yes,no,no,no,high,no
V02,8247.86,high,no,no,yes,no,no,no,high,yes
V03,345.26,low,no,no,no,no,no,no,normal,no
V02,142.68,low,no,no,no,no,no,no,normal,no
V18,848.83,low,no,no,no,no,no,no,high,no
V04,129.71,low,no,no,no,no,no,no,normal,no
V03,2376.57,low,no,no,no,no,no,no,high,no
V02,8000.00,high,no,no,no,no,no,no,normal,no
V05,418.33,low,no,yes,yes,no,no,no,normal,no
V11,459.11,low,no,no,yes,yes,no,no,high,no
V16,16789.06,outlier,no,no,no,no,no,yes,low,no
V10,170.56,low,no,no,no,yes,yes,no,normal,no
V05,4615.05,high,no,no,no,no,no,no,normal,no
V08,2869.48,low,no,no,no,yes,no,no,normal,no
V10,4045.68,low,no,no,no,yes,no,no,normal,no
V08,162.07,low,no,no,no,no,no,no,normal,no
V01,228.42,low,no,no,no,no,yes,yes,normal,no
V12,314.85,low,no,no,no,no,no,no,normal,no
V04,143.95,low,no,no,no,no,no,no,normal,no
V08,207.64,low,no,no,no,no,yes,no,normal,no
V05,9302.09,outlier,no,no,no,no,no,no,normal,no
V08,5000.32,high,no,no,no,no,no,no,low,no
V10,3255.18,low,no,no,no,no,no,no,normal,no
V03,225.63,low,no,no,no,no,no,no,high,no
V01,108.61,low,no,no,no,no,no,no,normal,no
V05,15612.82,outlier,yes,yes,yes,no,no,no,normal,no
V04,1948.17,low,no,no,no,no,no,no,normal,no
V11,182.80,low,no,no,no,no,yes,yes,normal,no
V08,4140.44,low,no,no,no,no,no,no,normal,no
V07,165.84,low,no,no,no,no,no,no,normal,no
V12,2885.92,low,no,no,no,no,no,no,high,no
V17,237.93,low,no,no,no,no,no,no,normal,no
V02,11526.84,outlier,no,no,no,no,no,no,low,yes
V01,4687.31,high,no,no,no,no,no,no,normal,no
V01,202.43,low,no,no,no,no,no,no,normal,no
V10,57.30,low,no,no,no,no,yes,no,high,no
V15,437.03,low,no,no,no,no,yes,no,low,no
V04,2056.47,low,no,no,no,no,no,no,low,no
V01,85.94,low,no,no,no,no,yes,no,normal,no
V09,58.36,low,no,no,no,no,no,no,normal,no
V16,264.10,low,no,no,no,no,no,no,normal,no
V01,3226.16,low,no,no,no,no,no,no,high,no
V16,21040.09,outlier,no,yes,no,no,no,no,low,yes
V10,580.41,low,no,no,no,no,no,no,normal,no
V05,27459.62,outlier,no,no,no,yes,no,no,normal,yes
V03,3885.24,low,no,no,no,no,no,no,normal,no
V12,1257.53,low,no,no,no,no,no,no,normal,no
V02,2031.79,low,no,no,no,no,no,no,high,no
V08,4995.00,high,no,no,no,no,yes,yes,normal,yes
V20,372.76,low,no,no,no,no,no,no,low,no
V05,12912.99,outlier,no,no,no,no,no,yes,normal,yes
V03,1786.12,low,no,no,no,no,no,no,normal,no
V02,2230.47,low,no,no,no,no,no,no,normal,no
V09,263.39,low,no,no,no,no,no,no,normal,no
V12,873.85,low,no,no,no,no,no,no,normal,no
V08,85.56,low,no,no,no,no,no,no,high,no
V09,22090.77,outlier,no,yes,no,yes,yes,yes,low,yes
V02,348.51,low,no,no,no,no,no,no,high,no
V02,296.72,low,no,no,yes,no,no,no,normal,no
V02,219.00,low,no,no,no,no,yes,yes,low,no
V05,6225.85,high,no,no,no,yes,no,no,normal,no
V03,3062.34,low,no,no,no,no,no,no,normal,no
V10,203.68,low,no,no,no,no,no,no,low,no
V06,3368.86,low,no,yes,no,no,no,no,high,no
V16,142.90,low,no,no,no,no,no,no,normal,no
V01,181.45,low,no,no,no,no,no,no,high,no
V03,2487.71,low,no,yes,no,no,yes,no,low,no
V01,19251.44,outlier,no,yes,yes,no,yes,no,low,yes
V02,92.36,low,no,no,no,no,no,no,normal,no
V16,143.70,low,no,no,no,no,no,no,high,no
V03,79.34,low,no,no,no,no,no,no,normal,no
V03,486.92,low,no,no,no,no,yes,no,normal,no
V03,4022.98,low,no,no,no,no,no,no,normal,no
V19,433.85,low,no,no,no,no,no,no,low,no
V09,344.53,low,yes,no,no,no,no,no,high,no
V06,280.43,low,no,yes,no,yes,no,no,low,no
V13,268.45,low,no,no,no,no,no,no,normal,no
V17,2902.14,low,yes,no,yes,no,yes,yes,low,yes
V08,3872.71,low,no,no,no,no,no,no,normal,no
V01,97940.80,outlier,no,no,yes,no,yes,no,low,yes
V04,246.78,low,no,no,no,no,no,no,normal,no
V07,102.51,low,no,no,no,no,no,no,normal,no
V09,352.35,low,no,no,no,no,no,no,high,no
